name,header,superhost,guests_rooms,rating,reviews,location,rarity,rarity_desc,house_rules,health_safety,cancellation,host_response,per night,total price,url,host
Viale Jurakumawari 10min walk from Nijo Castle#203,Entire serviced apartment,Superhost,3 guests · 1 bedroom · 2 beds · 1 bath,4.93 ·,184 reviews,"京都市, 京都府, Japan",None,None,House rulesCheck-in: 3:00 PM - 1:00 AMCheckout: 10:00 AMSelf check-in with lockboxNo smokingNo petsNo parties or eventsShow more,"Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarm󰐂Security Deposit - if you damage the home, you may be charged up to $94Show more",Free cancellation for 48 hours.,"Policy number: Hotels and Inns Business Act | 京都市指令保医セ | 第921号Languages: 中文 (简体), English, 日本語Response rate: 100%Response time: within an hour",$58.24 x 7 nights,$476.02,https://www.airbnb.com/rooms/23439418?adults=2&children=0&infants=0&check_in=2022-08-06&check_out=2022-08-13&previous_page_section_name=1000,Yukari
D7#Modern Japanese style apt/2 min to Sta.,Entire rental unit,None,2 guests · 1 bedroom · 2 beds · 1 bath,4.76 ·,62 reviews,"Nakagyō-ku, Kyōto-shi, Kyōto-fu, Japan",None,None,House rulesCheck-in: After 3:00 PMCheckout: 10:00 AMSelf check-in with lockboxNo smokingNo petsNo parties or eventsShow more,"Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarm󰐂Security Deposit - if you damage the home, you may be charged up to $236Show more",Free cancellation before Jul 29.,"Policy number: M260011031Languages: 中文 (简体), English, 日本語Response rate: 100%Response time: within an hour",$102.54 x 7 nights,$394.75,https://www.airbnb.com/rooms/30490008?adults=2&children=0&infants=0&check_in=2022-08-03&check_out=2022-08-10&previous_page_section_name=1000,D.K.S
"The best transportation is a 1-minute walk to the Arashiyama bus stop, Arashiyama (hot springs), and you can go anywhere! Free parking!",Entire home,Superhost,6 guests · 2 bedrooms · 1 bath,4.94 ·,17 reviews,"Ukyo Ward, Kyoto, Kyoto, Japan",None,None,House rulesCheck-in: 3:00 PM - 12:00 AMCheckout: 10:00 AMNo smokingNo pets,Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠃Security camera/recording device Show moreCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Aug 10.,Policy number: Hotels and Inns Business Act | 京都市指令保医セ | 京都市指令保医セ第277号Response rate: 100%Response time: within an hour,$62.99 x 7 nights,$542.70,https://www.airbnb.com/rooms/45866768?adults=2&children=0&infants=0&check_in=2022-08-15&check_out=2022-08-22&previous_page_section_name=1000,Soochan
Kyotofish·Himawari*100Yr Machiya*%ARABICA Opposite,Entire villa,Superhost,8 guests · 3 bedrooms · 8 beds · 3 baths,4.91 ·,47 reviews,"Higashiyama-ku, Kyoto, Kyoto, Japan",None,None,House rulesCheck-in: After 3:00 PMCheckout: 10:00 AMSelf check-in with smart lockNo smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Aug 28.,"Policy number: Hotels and Inns Business Act | 京都市指令保医セ第 | 京都市指令保医セ第391号Languages: 中文 (简体), English, Français, 日本語, 한국어, EspañolResponse rate: 100%Response time: within an hour",$94.48 x 7 nights,$699.18,https://www.airbnb.com/rooms/35581174?adults=2&children=0&infants=0&check_in=2022-08-29&check_out=2022-09-05&previous_page_section_name=1000,Karen
Sweet 305 private room☘️,Entire rental unit,Superhost,2 guests · 1 bedroom · 1 bed · 1 bath,4.79 ·,243 reviews," 京都市下京区, 京都府, Japan",This is a rare find.,Fusako's place on Airbnb is usually fully booked.,House rulesCheck-in: 3:00 PM - 10:00 PMCheckout: 11:00 AMSelf check-in with lockboxNot suitable for children and infantsNo smokingNo petsNo parties or eventsShow more,"Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarm󰐂Security Deposit - if you damage the home, you may be charged up to $87Show more",Free cancellation before Jul 8.,"Policy number: Hotels and Inns Business Act | 京都市保健福祉局医療衛生推進室医療衛生センター | 京都市指令保医セ第　６０１  号Languages: English, 日本語Response rate: 100%Response time: within an hour",$35.77 x 7 nights,$253.28,https://www.airbnb.com/rooms/17216479?adults=2&children=0&infants=0&check_in=2022-08-07&check_out=2022-08-14&previous_page_section_name=1000,Fusako
Traditional Machiya Near World Heritage!,Entire home,None,3 guests · 2 bedrooms · 2 beds · 1 bath,4.92 ·,50 reviews,"Shimogyō-ku, Kyōto-shi, Kyōto-fu, Japan",None,None,House rulesCheck-in: 4:00 PM - 9:00 PMCheckout: 10:00 AMNo smokingNo petsNo parties or eventsShow more,"Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarm󰐂Security Deposit - if you damage the home, you may be charged up to $236Show more",Free cancellation before Aug 19.,"Policy number: Hotels and Inns Business Act | 京都市医療衛生センター | 京都市指令保医セ第560号Languages: 中文 (简体), English, 日本語Response rate: 100%Response time: within an hour",$88.97 x 7 nights,$595.55,https://www.airbnb.com/rooms/22069201?adults=2&children=0&infants=0&check_in=2022-08-24&check_out=2022-08-31&previous_page_section_name=1000,Rinn
[LGS] Perfect Little Studio Apartment Higashiyama,Entire rental unit,None,2 guests · 1 bedroom · 1 bath,4.79 ·,33 reviews,"Higashiyama Ward, Kyoto, Kyoto, Japan",This is a rare find.,Legasta's place on Airbnb is usually fully booked.,House rulesCheck-in: After 3:00 PMCheckout: 10:00 AMNo smokingNo petsNo parties or eventsShow more,"Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠆Carbon monoxide alarm not reported Show moreSmoke alarm󰐂Security Deposit - if you damage the home, you may be charged up to $102Show more",Free cancellation for 48 hours.,Policy number: Hotels and Inns Business Act | 京都市 | 京都市指令保医セ第45号,$34.00 x 7 nights,$266.34,https://www.airbnb.com/rooms/48288781?adults=2&children=0&infants=0&check_in=2022-08-26&check_out=2022-09-02&previous_page_section_name=1000,Matatabi Stay
Entire house with excellent access 5-minute walk from Kyoto station ~ 5 people [stay Inn Akane Kyoto station],Entire home,Superhost,5 guests · 2 bedrooms · 1 bed · 1 bath,5.0 ·,3 reviews,"Minami Ward, Kyoto, Kyoto, Japan",This is a rare find.,松田's place on Airbnb is usually fully booked.,House rulesCheck-in: After 3:00 PMCheckout: 10:00 AMNo smokingNo petsNo parties or events,Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠃No carbon monoxide alarm󱠃Security camera/recording device Show moreSmoke alarmShow more,Free cancellation before Jul 28.,"Policy number: Hotels and Inns Business Act | 京都市 | 京都市指令保医セ第 564 号Languages: English, 日本語Response rate: 100%Response time: within an hour",$71.27 x 7 nights,$460.80,https://www.airbnb.com/rooms/54184557?adults=2&children=0&infants=0&check_in=2022-08-02&check_out=2022-08-09&previous_page_section_name=1000,松田
100 year old Kyoumachiya 【４DK】３min Ginkakuji,Entire home,Superhost,5 guests · 2 bedrooms · 5 beds · 1 bath,4.92 ·,49 reviews,"Kyoto, Japan",None,None,House rulesCheck-in: After 4:00 PMCheckout: 10:00 AMSelf check-in with lockboxNo smokingNo petsNo parties or eventsShow more,"Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠃No carbon monoxide alarm󱠃Nearby lake, river, other body of waterSmoke alarmShow more",Free cancellation before Aug 8.,Policy number: M260015379Response rate: 100%Response time: within an hour,$82.11 x 7 nights,$617.27,https://www.airbnb.com/rooms/33695795?adults=2&children=0&infants=0&check_in=2022-08-13&check_out=2022-08-20&previous_page_section_name=1000,Tada
Near sanjo sta [2QSD],Entire condo,None,4 guests · 1 bedroom · 2 beds · 1 bath,4.72 ·,57 reviews,"Higashiyama Ward, Kyoto, Kyoto, Japan",None,None,House rulesCheck-in: 3:00 PM - 12:00 AMCheckout: 11:00 AMNo smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠆Carbon monoxide alarm not reported Show moreSmoke alarmShow more,Free cancellation before Aug 20.,"Policy number: Hotels and Inns Business Act | 京都市 | 京都市指令保医セ第291号Languages: English, 日本語Response rate: 100%Response time: within an hour",$51.29 x 7 nights,$398.36,https://www.airbnb.com/rooms/46013889?adults=2&children=0&infants=0&check_in=2022-08-25&check_out=2022-09-01&previous_page_section_name=1000,RESISTAY Support
"[Kyoto Nishijin] 1 room, kitchen with indoor toilet & shower, separate building: Expo Hostel",Private room in townhouse,Superhost,2 guests · 1 bedroom · 1 bed · 1 private bath,4.97 ·,29 reviews,"Kitaku, Kyotoshi, Kyoto, Japan",This is a rare find.,Cottage's place on Airbnb is usually fully booked.,House rulesCheck-in: 3:00 PM - 9:00 PMCheckout: 11:00 AMNo smokingNo petsNo parties or events,Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Aug 20.,"Policy number: Hotels and Inns Business Act | 京都市 | 京都市指令保医セ第369号Languages: English, 日本語Response rate: 100%Response time: within an hour",$31.49 x 7 nights,$252.09,https://www.airbnb.com/rooms/49148648?adults=2&children=0&infants=0&check_in=2022-08-25&check_out=2022-09-01&previous_page_section_name=1000,Cottage
B1 Central Kyoto Shijo Kawaramachi Big Sale Early Bird Offer New Opening 3pax Room 30m2 Great Location Gion Takashimaya Nishiki Market Walking Distance,Entire rental unit,None,3 guests · 1 bedroom · 1 bed · 1.5 baths,4.88 ·,76 reviews,"Kyoto, Kyoto Prefecture, Japan",Lower price.,Your dates are $369 less than the avg. nightly rate of the last 60 days.,House rulesCheck-in: 4:00 PM - 12:00 AMCheckout: 10:00 AMSelf check-in with lockboxNo smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarmShow more,Free cancellation for 48 hours.,"Policy number: M260012386Languages: 中文 (简体), English, 日本語Response rate: 100%Response time: within an hour",$49.73 x 7 nights,$430.39,https://www.airbnb.com/rooms/23029043?adults=2&children=0&infants=0&check_in=2022-08-08&check_out=2022-08-15&previous_page_section_name=1000,華仔
"[newopen] I feel Kyoto on my skin. Not only for short trips, but also for longer stays! [Discount] Thank you!",Entire townhouse,Superhost,4 guests · 2 bedrooms · 4 beds · 1.5 baths,4.78 ·,18 reviews,"Kamigyo Ward, Kyoto, Kyoto, Japan",This is a rare find.,Maya's place on Airbnb is usually fully booked.,House rulesCheck-in: After 4:00 PMCheckout: 10:00 AMNo smokingNo petsNo parties or events,Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Aug 14.,"Policy number: Hotels and Inns Business Act | 京都市 | 京都市指令保医セ第 850 号Languages: English, 日本語Response rate: 100%Response time: within an hour",$179.79 x 7 nights,"$1,004.50",https://www.airbnb.com/rooms/51216753?adults=2&children=0&infants=0&check_in=2022-08-19&check_out=2022-08-26&previous_page_section_name=1000,Maya
[8 minutes on foot from Kyoto Station] Japanese-style brand new two-story whole house & 7 minutes from Kintetsu Toji Station & currently open for business! High-speed WiFi,Entire home,None,5 guests · 2 bedrooms · 5 beds · 2 baths,4.45 ·,20 reviews,"Kyoto, Japan",This is a rare find.,Tei's place on Airbnb is usually fully booked.,House rulesCheck-in: After 3:00 PMCheckout: 11:00 AMNo smokingNo pets,Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarmShow more,Free cancellation for 48 hours.,"Policy number: Hotels and Inns Business Act | 京都市市役所保険福祉局医療衛生推進室医療衛生センター | 京都市指令保医セ第　612 号Languages: 中文 (简体), English, 日本語Response rate: 92%Response time: within an hour",$23.61 x 7 nights,$237.58,https://www.airbnb.com/rooms/42105926?adults=2&children=0&infants=0&check_in=2022-08-27&check_out=2022-09-03&previous_page_section_name=1000,Tei
2 Welcome Free wifi near Sta and SC and bus stop,Entire home,Superhost,5 guests · 2 bedrooms · 5 beds · 1 bath,4.96 ·,403 reviews,"京都市, 京都府, Japan",Good price.,Your dates are $7 less than the avg. nightly rate over the last 3 months.,House rulesCheck-in: After 3:00 PMCheckout: 10:00 AMSelf check-in with lockboxNo smokingNo petsNo parties or eventsShow more,"Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarm󰐂Security Deposit - if you damage the home, you may be charged up to $237Show more",Free cancellation before Jul 28.,Policy number: Hotels and Inns Business Act | 京都市医療衛生センター | 京都市指令保保医　第５０２号Language: 日本語Response rate: 100%Response time: within an hour,$25.87 x 7 nights,$205.34,https://www.airbnb.com/rooms/14239019?adults=2&children=0&infants=0&check_in=2022-08-02&check_out=2022-08-09&previous_page_section_name=1000,Mitsuo
Tanimachi-kun ･ Hoshiya ･ Konojuku/Kyoto Kiyomizu-dera/~ 75★ ㎡ 50% off★,Entire villa,None,8 guests · 2 bedrooms · 7 beds · 1 bath,4.71 ·,59 reviews,"Higashiyama Ward, Kyoto, Kyoto, Japan",Good price.,Your dates are $52 less than the avg. nightly rate over the last 3 months.,House rulesCheck-in: 3:00 PM - 10:00 PMNo smokingNo petsNo parties or events,Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠃Security camera/recording device Show moreCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Aug 1.,"Policy number: Hotels and Inns Business Act | 京都市指定保医セ | 京都市指令保医セ第　１３２ 号Languages: 中文 (简体), English, 日本語Response rate: 100%Response time: within an hour",$163.31 x 7 nights,"$1,143.20",https://www.airbnb.com/rooms/52517638?adults=2&children=0&infants=0&check_in=2022-08-02&check_out=2022-08-09&previous_page_section_name=1000,谷町君
KumoMachiya Koima,Entire townhouse,None,2 guests · 1 bedroom · 1 bed · 1 bath,4.82 ·,17 reviews,"Higashiyama-ku, Kyoto, Kyoto, Japan",This is a rare find.,Kumo Machiya's place on Airbnb is usually fully booked.,House rulesCheck-in: 3:00 PM - 11:00 PMCheckout: 11:00 AMNo smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠃Security camera/recording device Show moreCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Aug 25.,"Policy number: Hotels and Inns Business Act | 京都市医療衛生センター | 京都市指令保医セ第97号Languages: 中文 (简体), English, 日本語Response rate: 100%Response time: within an hour",$101.23 x 7 nights,$716.48,https://www.airbnb.com/rooms/43850703?adults=2&children=0&infants=0&check_in=2022-08-30&check_out=2022-09-06&previous_page_section_name=1000,Kumo Machiya
Kirakuan: Modern Machiya in the heart of Kyoto,Entire townhouse,Superhost,5 guests · 2 bedrooms · 2 beds · 1.5 baths,4.96 ·,205 reviews,"京都市, 京都府, Japan",None,None,House rulesCheck-in: 3:00 PM - 8:00 PMCheckout: 11:00 AMNo petsNo parties or events󱤇Smoking is allowed,Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarmShow more,Free cancellation for 48 hours.,"Policy number: Hotels and Inns Business Act | 京都市長　門川　大作 | 京都市指令保保生第５６号Languages: English, Italiano, 日本語Response rate: 100%Response time: within an hour",$141.72 x 7 nights,"$1,063.83",https://www.airbnb.com/rooms/1163627?adults=2&children=0&infants=0&check_in=2022-08-19&check_out=2022-08-26&previous_page_section_name=1000,Mako
In Ninen-zaka!Traditional house like art gallery!,Entire home,None,4 guests · 2 bedrooms · 1 bed · 1 bath,4.84 ·,238 reviews,"京都市東山区, 京都府, Japan",None,None,House rulesCheck-in: After 3:00 PMCheckout: 11:00 AMNo smokingNo petsNo parties or eventsShow more,"Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarm󰐂Security Deposit - if you damage the home, you may be charged up to $157Show more",Free cancellation before Aug 22.,"Policy number: Hotels and Inns Business Act | 京都市 | 京都市指令保保医第229号Languages: English, 日本語Response rate: 100%Response time: within an hour",$86.61 x 7 nights,$669.62,https://www.airbnb.com/rooms/7098261?adults=2&children=0&infants=0&check_in=2022-08-27&check_out=2022-09-03&previous_page_section_name=1000,RESISTAY Support
Traditional but modern house/ 7min from Kyoto sta.,Entire townhouse,Superhost,4 guests · 2 bedrooms · 4 beds · 1 bath,4.89 ·,227 reviews,"京都市, 京都府, Japan",None,None,House rulesCheck-in: After 4:00 PMCheckout: 11:00 AMSelf check-in with keypadNo smokingNo petsNo parties or eventsShow more,"Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarm󰐂Security Deposit - if you damage the home, you may be charged up to $1575Show more",Free cancellation before Aug 11.,"Policy number: Hotels and Inns Business Act | 京都市下京区保健所 | 京都市指令保医セ第494号Languages: English, 日本語Response rate: 100%Response time: within an hour",$196.84 x 7 nights,"$1,666.33",https://www.airbnb.com/rooms/20856174?adults=2&children=0&infants=0&check_in=2022-08-16&check_out=2022-08-23&previous_page_section_name=1000,Ryoji
MAX5!7min to Kyoto Sta.Free Wi-Fi&Android TV[JFSK],Entire condo,None,5 guests · 2 bedrooms · 2 beds · 1 bath,5.0 ·,24 reviews,"Shimogyō-ku, Kyoto, Kyoto, Japan",None,None,House rulesCheck-in: 3:00 PM - 12:00 AMCheckout: 11:00 AMNo smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠃No carbon monoxide alarm󱠃Security camera/recording device Show moreSmoke alarmShow more,Free cancellation before Aug 21.,"Policy number: Hotels and Inns Business Act | 京都市 | 京都市指令保医セ第950号Languages: English, 日本語Response rate: 100%Response time: within an hour",$86.61 x 7 nights,$651.73,https://www.airbnb.com/rooms/33353936?adults=2&children=0&infants=0&check_in=2022-08-26&check_out=2022-09-02&previous_page_section_name=1000,RESISTAY Support
15mins Kyoto Sta☘- Luxurious Ryokan Style Stay-,Entire townhouse,Superhost,4 guests · 2 bedrooms · 4 beds · 1 bath,4.93 ·,85 reviews,"Kyoto-shi, Kyoto, Japan",This is a rare find.,Number6's place on Airbnb is usually fully booked.,House rulesCheck-in: 3:00 PM - 9:00 PMCheckout: 11:00 AMSelf check-in with keypadNo smokingNo petsNo parties or events,"Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarm󰐂Security Deposit - if you damage the home, you may be charged up to $110Show more",Free cancellation before Jul 31.,"Policy number: Hotels and Inns Business Act | 京都市 | 京都市指令保医セ第 638 号Languages: English, 日本語Response rate: 100%Response time: within an hour",$206.96 x 7 nights,"$1,303.85",https://www.airbnb.com/rooms/21883857?adults=2&children=0&infants=0&check_in=2022-08-05&check_out=2022-08-12&previous_page_section_name=1000,Number6
[OG] Japanese House in Downtown Kyoto for 4 PPL,Entire townhouse,None,4 guests · 1 bedroom · 4 beds · 1 bath,4.80 ·,191 reviews,"Kyōto-shi, Kyōto-fu, Japan",This is a rare find.,Kyo-Machiya's place on Airbnb is usually fully booked.,House rulesCheck-in: After 3:00 PMCheckout: 10:00 AMNo smokingNo petsNo parties or eventsShow more,"Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarm󰐂Security Deposit - if you damage the home, you may be charged up to $102Show more",Free cancellation for 48 hours.,"Policy number: Hotels and Inns Business Act | 京都府京都市保健所 | 京都市指令保保医第505号Languages: 中文 (简体), English, 日本語",$52.75 x 7 nights,$386.22,https://www.airbnb.com/rooms/9413461?adults=2&children=0&infants=0&check_in=2022-08-31&check_out=2022-09-07&previous_page_section_name=1000,Matatabi
*Room402*Kyotofish Boutique Hotel*1min to Kamogawa,Room in boutique hotel,Superhost,2 guests · 1 bedroom · 2 beds · 1.5 baths,4.82 ·,45 reviews,"Shimogyō-ku, Kyoto, Kyoto, Japan",None,None,House rulesCheck-in: After 3:00 PMCheckout: 11:00 AMSelf check-in with smart lockNo smokingNo petsShow more,"Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠃Security camera/recording device Show more󱠃Nearby lake, river, other body of waterCarbon monoxide alarmSmoke alarmShow more",Free cancellation before Aug 23.,"Policy number: Hotels and Inns Business Act | 京都市指令保医セ | 第318号Languages: 中文 (简体), English, Français, 日本語, 한국어, EspañolResponse rate: 100%Response time: within an hour",$51.18 x 7 nights,$368.09,https://www.airbnb.com/rooms/39266804?adults=2&children=0&infants=0&check_in=2022-08-24&check_out=2022-08-31&previous_page_section_name=1000,Karen
CleanChic Home near Nijo-Castle/Free WiFi,Entire home,None,5 guests · 2 bedrooms · 1 bed · 1 bath,4.77 ·,311 reviews,"Nakagyo-ku, Kyoto-shi, Kyoto Prefecture, Japan",None,None,House rulesCheck-in: After 3:00 PMCheckout: 10:00 AMSelf check-in with lockboxNo smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠃Security camera/recording device Show moreCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Aug 21.,"Policy number: Hotels and Inns Business Act | 京都市保健福祉局医療衛生推進室医療衛生センター | 京都市指令保保医第914号Languages: 中文 (简体), English, Français, हिन्दी, Italiano, 日本語, 한국어, TürkçeResponse rate: 100%Response time: within an hour",$65.24 x 7 nights,$550.37,https://www.airbnb.com/rooms/11781600?adults=2&children=0&infants=0&check_in=2022-08-22&check_out=2022-08-29&previous_page_section_name=1000,Tomoko
Cityscape that rewinds the space-time of the heart,Hut,Superhost,7 guests · 2 bedrooms · 4 beds · 1 bath,4.93 ·,101 reviews,"京都市, 京都府, Japan",None,None,House rulesCheck-in: After 4:00 PMCheckout: 10:00 AMSelf check-in with keypadNo smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠃No carbon monoxide alarmSmoke alarmShow more,Free cancellation before Aug 21.,Policy number: Hotels and Inns Business Act | 京都市 | 京都市指令保医セ第165号Response rate: 100%Response time: within an hour,$204.71 x 7 nights,"$1,018.80",https://www.airbnb.com/rooms/25523632?adults=2&children=0&infants=0&check_in=2022-08-22&check_out=2022-08-29&previous_page_section_name=1000,Takeshi
Tofukuji SAKURA 東福寺 桜,Entire vacation home,Superhost,7 guests · 2 bedrooms · 7 beds · 1.5 baths,,1 review,"Higashiyama Ward, Kyoto, Kyoto, Japan",None,None,House rulesCheck-in: After 4:00 PMCheckout: 10:00 AMNo smokingNo petsNo parties or events,Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠃Pool/hot tub without a gate or lockCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Aug 13.,"Policy number: Hotels and Inns Business Act | 京都市 | 京都市指令保医セ第 ２３７ 号Languages: 中文 (简体), English, 日本語Response rate: 100%Response time: within an hour",$161.35 x 7 nights,$889.66,https://www.airbnb.com/rooms/572578834795429670?adults=2&children=0&infants=0&check_in=2022-08-18&check_out=2022-08-25&previous_page_section_name=1000,Shiki
Kyokoi-kiyomizu,Entire villa,Superhost,4 guests · 2 bedrooms · 5 beds · 1.5 baths,4.84 ·,94 reviews,"Kyoto, Kyoto Prefecture, Japan",This is a rare find.,叶（京恋）'s place on Airbnb is usually fully booked.,House rulesCheck-in: 3:00 PM - 8:00 PMCheckout: 10:00 AMSelf check-in with keypadNo smokingNo petsNo parties or eventsShow more,"Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarm󰐂Security Deposit - if you damage the home, you may be charged up to $157Show more",Free cancellation for 48 hours.,"Policy number: Hotels and Inns Business Act | 京都市保健所 | 京都市指令保保医第152号Languages: 中文 (简体), English, 日本語Response rate: 100%Response time: within an hour",$94.48 x 7 nights,$718.84,https://www.airbnb.com/rooms/11827836?adults=2&children=0&infants=0&check_in=2022-08-03&check_out=2022-08-10&previous_page_section_name=1000,叶（京恋）
Expo Hostel Nishi Room3 1000yen bike for your stay,Private room in hostel,Superhost,2 guests · 1 bedroom · 2 beds · 1 shared bath,4.90 ·,310 reviews,"Kyoto, Kyoto Prefecture, Japan",None,None,House rulesCheck-in: 3:00 PM - 9:00 PMCheckout: 11:00 AMNo smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Aug 24.,"Policy number: Hotels and Inns Business Act | 京都市保健福祉局医療衛生推進室医療衛生センター | 京都市指令保保医第90号Languages: English, 日本語Response rate: 100%Response time: within an hour",$27.56 x 7 nights,$237.52,https://www.airbnb.com/rooms/8297166?adults=2&children=0&infants=0&check_in=2022-08-29&check_out=2022-09-05&previous_page_section_name=1000,Expo
Central Kyoto Amazing Place! 5PPL,Entire rental unit,Superhost,5 guests · 2 bedrooms · 4 beds · 1 bath,4.60 ·,155 reviews,"Nakagyō-ku, Kyōto-shi, Kyōto-fu, Japan",Extend your trip and save.,None,House rulesCheck-in: After 3:00 PMCheckout: 10:00 AMSelf check-in with lockboxNo smokingNo petsNo parties or eventsShow more,"Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarm󰐂Security Deposit - if you damage the home, you may be charged up to $87Show more",Free cancellation for 48 hours.,"Policy number: M260010539Languages: English, 日本語Response rate: 100%Response time: within an hour",$121.48 x 7 nights,$458.26,https://www.airbnb.com/rooms/9130983?adults=2&children=0&infants=0&check_in=2022-08-14&check_out=2022-08-21&previous_page_section_name=1000,Shinichi
Resort Kyomachiya Gen Bisyamon/Gojo Sta. 4 mins,Entire home,Superhost,5 guests · 2 bedrooms · 2 beds · 1 bath,4.85 ·,141 reviews,"京都市, 京都府, Japan",None,None,House rulesCheck-in: 3:00 PM - 6:00 PMCheckout: 10:00 AMSelf check-in with smart lockNo smokingNo petsNo parties or events,Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Jul 2.,"Policy number: Hotels and Inns Business Act | 京都市保健福祉局医療保健推進室医療衛生センター | 京都市指令保医セ第９５３号　Languages: English, 日本語Response rate: 100%Response time: within an hour",$155.22 x 7 nights,"$1,219.78",https://www.airbnb.com/rooms/23771183?adults=2&children=0&infants=0&check_in=2022-08-01&check_out=2022-08-08&previous_page_section_name=1000,Connections
Family Suite・NETFLIX & Free Starbucks @KARAWAMACHI,Room in aparthotel,Superhost,4 guests · 1 bedroom · 2 beds · 1 bath,5.0 ·,3 reviews,"Shimogyo Ward, Kyoto, Kyoto, Japan",None,None,House rulesCheck-in: After 3:00 PMCheckout: 10:00 AMSelf check-in with keypadNo smokingNo petsNo parties or eventsShow more,"Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠃Security camera/recording device Show moreCarbon monoxide alarmSmoke alarm󰐂Security Deposit - if you damage the home, you may be charged up to $110Show more",Free cancellation before Aug 12.,Policy number: Hotels and Inns Business Act | 京都市 | 京都市指令保医セ第183号Response rate: 100%Response time: within an hour,$162.98 x 7 nights,$798.65,https://www.airbnb.com/rooms/49359591?adults=2&children=0&infants=0&check_in=2022-08-17&check_out=2022-08-24&previous_page_section_name=1000,デザインホテル
"New construction,Long-term discount, Free Wi-Fi 1F",Private room in home,Superhost,3 guests · 1 bedroom · 3 beds · 1 private bath,4.85 ·,119 reviews,"京都市, 京都府, Japan",None,None,House rulesCheck-in: After 4:00 PMCheckout: 10:00 AMSelf check-in with keypadNo smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠃Security camera/recording device Show moreCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Aug 11.,Policy number: Hotels and Inns Business Act | 京都市指令保保医 | 京都市指令保保医第1472号Response rate: 100%Response time: within an hour,$55.11 x 7 nights,$471.81,https://www.airbnb.com/rooms/17016274?adults=2&children=0&infants=0&check_in=2022-08-12&check_out=2022-08-19&previous_page_section_name=1000,Takeshi
